"time","W.mean_value"
"2024-03-05T05:48:00.000+04:00","60.344086021505376"
"2024-03-05T17:12:00.000+04:00","13.21505376344086"
"2024-03-06T04:36:00.000+04:00","106.69662921348315"
"2024-03-06T16:00:00.000+04:00","13.160493827160494"
"2024-03-07T03:24:00.000+04:00","28.264367816091955"
"2024-03-07T14:48:00.000+04:00","13.63"
"2024-03-08T02:12:00.000+04:00","13.296296296296296"
"2024-03-08T13:36:00.000+04:00","13.152173913043478"
"2024-03-09T01:00:00.000+04:00","13.375"
"2024-03-09T12:24:00.000+04:00","13.351648351648352"
"2024-03-09T23:48:00.000+04:00","13.534090909090908"
"2024-03-10T11:12:00.000+04:00","13.454545454545455"
"2024-03-10T22:36:00.000+04:00","14.301204819277109"
"2024-03-11T10:00:00.000+04:00","23.2803738317757"
"2024-03-11T21:24:00.000+04:00","13.64935064935065"
"2024-03-12T08:48:00.000+04:00","28.522727272727273"
"2024-03-12T20:12:00.000+04:00","13.408163265306122"
"2024-03-13T07:36:00.000+04:00","27.265060240963855"
"2024-03-13T19:00:00.000+04:00","13.24731182795699"
"2024-03-14T06:24:00.000+04:00","18.988372093023255"
"2024-03-14T17:48:00.000+04:00","13"
"2024-03-15T05:12:00.000+04:00","13.104166666666666"
"2024-03-15T16:36:00.000+04:00","13.144444444444444"
"2024-03-16T04:00:00.000+04:00","13.085106382978724"
"2024-03-16T15:24:00.000+04:00","13.071428571428571"
"2024-03-17T02:48:00.000+04:00","13.144444444444444"
"2024-03-17T14:12:00.000+04:00","13.522222222222222"
"2024-03-18T01:36:00.000+04:00","62.151162790697676"
"2024-03-18T13:00:00.000+04:00","28.51851851851852"
"2024-03-19T00:24:00.000+04:00","30.46938775510204"
"2024-03-19T11:48:00.000+04:00","24.839506172839506"
"2024-03-19T23:12:00.000+04:00","13.218390804597702"
"2024-03-20T10:36:00.000+04:00","48.050632911392405"
"2024-03-20T22:00:00.000+04:00","34.87179487179487"
"2024-03-21T09:24:00.000+04:00","66.14772727272727"
"2024-03-21T20:48:00.000+04:00","13.01063829787234"
"2024-03-22T08:12:00.000+04:00","13.126315789473685"
"2024-03-22T19:36:00.000+04:00","12.969696969696969"
